p_value	log2FC	fdr	VIP	group
5-Methoxytryptophol	0.489427444395541	-0.119734572701017	0.657396626495786	0.294483645153634	Non-significant
Cadaverine	0.00054602459501035	0.433628457164421	0.00295113293017499	1.15648113608043	Significant
Erythrose	0.226051199728759	0.0640100309186137	0.363926399563321	0.54072786158218	Non-significant
Glyceraldehyde	0.941255435411543	-0.0065144189445139	0.953861534992947	0.0119638327535788	Non-significant
cis-2-Methylaconitate	0.101905779968206	-0.0585523441711509	0.200294389472711	0.695479336094711	Non-significant
Alloisoleucine	0.989544930459122	-0.000991201070426508	0.989544930459122	0.199599834439334	Non-significant
Myo-Inositol	0.0103698434631111	0.196718541195678	0.0320613411291462	0.861977070634324	Significant
Nicotine	0.660876096425624	-0.0242322807443936	0.778558180230721	0.0466211978926924	Non-significant
2-Piperidinecarboxylic acid	0.171481568314622	0.45283524929531	0.306506425255269	0.390158316838508	Non-significant
Myristic acid	0.285876384747549	-0.234661786892735	0.445615813266689	0.790876020720127	Non-significant
Heneicosanoic acid	0.428715818137694	-0.032050429210962	0.593405431202784	0.0577523191222692	Non-significant
Isopentenyl pyrophosphate	0.62947446210784	-0.019128900279784	0.760056930311062	0.387841423416347	Non-significant
oleoylcarnitine	0.00156866512893235	0.332636799196841	0.00712173968535285	0.65728225299752	Significant
sarcosine	1.93137614980194e-05	0.68692504090731	0.000190618428697843	1.32892317320618	Significant
N-formyl-glycine	0.26866642613332	-0.218550229923247	0.426058569390156	0.346498036048443	Non-significant
Epinephrine	0.363373333475391	0.327856123772589	0.522990086836467	0.301575422561868	Non-significant
3-Succinoylpyridine	0.00132038221528953	0.75434081087803	0.00624430755980674	1.09540283356162	Significant
9,12-Octadecadienoic acid (Z,Z)-	0.0293271933232565	-0.403667516719668	0.0774101498183632	1.01129883620641	Non-significant
Cyclohexanone	0.212731938125144	-0.0432618049067493	0.344929642531484	0.13521029069699	Non-significant
L-Homoserine	0.11306858112125	-0.292456765721386	0.21937237533781	0.580585544587713	Non-significant
Anthranilic acid	0.290473496349479	-0.0986996465238747	0.445615813266689	0.209878469942663	Non-significant
2,3-Diaminopropionic acid	0.0107573431850441	0.124905291680176	0.0325588920400668	0.744911127676269	Significant
Beta-alanine	0.767881633624142	-0.0623041192712161	0.867209606132737	0.157948347452704	Non-significant
Dihydroxyacetone phosphate	0.200054579414492	0.0279334084743566	0.33391462887566	0.344017480605761	Non-significant
Ribitol	0.0562096951113227	0.355630533216536	0.134311587266003	0.515950636338018	Non-significant
Tetracosahexaenoic acid	0.0910956845599044	0.259596133644219	0.184631432099092	0.334707160323303	Non-significant
Oxalic acid	0.341692097978185	-0.0762792447934029	0.506954942751948	0.107291276691547	Non-significant
2-hydroxypyridine	0.424018933915189	-0.0281251068277701	0.59050489569784	0.0381070231679962	Non-significant
D-Ribofuranose	0.0252511782320637	0.185935389096806	0.0682383030795056	0.888057256322805	Non-significant
Olic acid	0.292577855260422	-0.256508768353821	0.445615813266689	0.777081829394793	Non-significant
Gluticol	0.87043167828407	-0.0355296404270042	0.923308369020952	0.00350804790459901	Non-significant
L-Ornithine	0.00222344665800318	0.292385991083672	0.00934671095123561	0.921944761064678	Significant
Hydroxycarbamic acid	0.0457612282802908	-0.19969064755632	0.115419986884733	0.728748176752626	Non-significant
Alanine	0.101078549387709	-0.134610651402487	0.200294389472711	0.533892648851857	Non-significant
L-Tyrosine	0.661945941782066	-0.0309189128044567	0.778558180230721	0.0506978448229629	Non-significant
1,2-dimethylpropanol	0.890551102114951	0.0101051727159297	0.931590323410571	0.117678646001803	Non-significant
Hexanoylcarnitine	0.00265611763003406	0.370730468323024	0.0107513159648137	0.822896834500774	Significant
Octanoylcarnitine	0.0593225252417683	0.371809625736882	0.138826940514241	0.620076845408867	Non-significant
Maleimide	0.912383272218909	0.0171354185948973	0.935223341682838	0.16633215268531	Non-significant
3-Aminosalicylic acid, TMS	0.914623708606123	0.00652343980200549	0.935223341682838	0.272749451205609	Non-significant
6-deoxy-mannose	0.0904170368452716	0.153278203654961	0.184631432099092	0.716469995675771	Non-significant
Norleucine	0.804634286790146	0.0563304707729321	0.893928122892507	0.120019944747832	Non-significant
Calcidiol	0.0533686895552191	0.166968328641065	0.128879707755689	0.419348759241885	Non-significant
2-Hydroxycinnamic acid	0.80374281626799	0.0168252379443151	0.893928122892507	0.125119525144927	Non-significant
L-Tryptophan	0.539385408869548	-0.0353309911643924	0.699659930362214	0.191908736062918	Non-significant
Dodecanoic acid	0.481841034879642	-0.0668620675829485	0.651059017367136	0.43996870752004	Non-significant
2,3-Dihydroxybutanoic acid	0.953840563923141	0.00484950917104971	0.961840346140953	0.0383111316308972	Non-significant
Citrulline	0.512811208505292	0.00505836847709479	0.676791536806403	0.0236695336083063	Non-significant
N,N-Dimethyl-2-isopropoxyethylamine	0.294459788502217	0.0678736407205461	0.445615813266689	0.390527931197525	Non-significant
1-hydroxy-1-cyclohexen	0.456103601434002	-0.0227212998218534	0.623707936900713	0.0214191936575491	Non-significant
3,6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl-	0.0498487529558728	-0.986196655880093	0.122996379575904	1.22701988001649	Non-significant
Deoxycholic acid	0.566217419403756	-0.0410265966893278	0.717907625760274	0.271105148538168	Non-significant
4-Aminohippuric acid	0.123679496351193	0.120178649208743	0.232026823733229	0.602079130233057	Non-significant
á-Amino isobutyric acid	0.0520826342419243	0.11202755266458	0.12712642981631	0.623484826230329	Non-significant
D-Glucuronic acid	0.287055767829288	-0.319703912150441	0.445615813266689	0.16602771301157	Non-significant
Tetradecanoylcarnitine	0.0156715998852853	0.238218058980939	0.0456083740251253	0.566366659024628	Significant
à-Hydroxyisobutyric acid	0.536392124152127	0.0683315190175892	0.699659930362214	0.355858344651226	Non-significant
L-Leucine	0.825074758772635	-0.0151423125447611	0.903068681353457	0.142418710241019	Non-significant
Carnitine	0.0272053569715538	-0.296021856045043	0.0726543062652085	0.782154145713957	Non-significant
Cyclohexyloxy	0.0798541223681908	-0.0600384018654342	0.172637007405517	0.37321008133155	Non-significant
Dodecanoylcarnitine	0.0645281774049862	0.21826037735207	0.149468329295223	0.506460374408057	Non-significant
Creatine	0.625666603236308	0.0501645715342398	0.759499031736053	0.303021939687862	Non-significant
Elaidic acid	0.181440719502971	-0.459598700810705	0.316475965321314	0.450229873726367	Non-significant
o-Tyrosine	0.743547276511399	0.0221987874436494	0.844584840641841	0.127623986841501	Non-significant
