"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00092","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"2-oxo-4-methylvaleric acid","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"4-hydroxy-proline","NA","NA","NA","NA","NA","NA","NA","0"
"Succinyladenosine","Succinyladenosine","HMDB0000912","20849086","71169",NA,"5867","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12","1"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","27956","C05422","342","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5283560","37550","C06124","5272","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O","1"
"Benzocaine","Benzocaine","HMDB0004992","2337","116735","C07527","3934","CCOC(=O)C1=CC=C(N)C=C1","1"
"d-Galactose","D-Galactose","HMDB0000143","439357","28061","C00124","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"2-methyl-butyric acid","NA","NA","NA","NA","NA","NA","NA","0"
"Bisnorcholic acid","Bisnorcholic acid","HMDB0002082","9547705","145219",NA,NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)C(O)=O","1"
"N-Acetyl glucosamine","beta-N-Acetylglucosamine","HMDB0000803","24139","28009","C03878","5767","CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"Threitol","D-Threitol","HMDB0004136","169019","48300","C16884","140","OC[C@@H](O)[C@H](O)CO","1"
"D-Fructose","D-Fructose","HMDB0000660","439709","28645","C00095","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","17490","C02990","5231","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"3-Hydroxydodecanedioic acid","3-Hydroxydodecanedioic acid","HMDB0000413","16663321","145961",NA,"5402","OC(CCCCCCCCC(O)=O)CC(O)=O","1"
"Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"Proline betaine","Proline betaine","HMDB0004827","115244","35280","C10172","7089","C[N+]1(C)CCC[C@H]1C([O-])=O","1"
"L-phenylalanyl-L-proline","Phenylalanylproline","HMDB0011177","7020641","74750",NA,NA,"N[C@@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(O)=O","1"
"Phenyllactic acid","Phenyllactic acid","HMDB0000779","3848","25998","C01479","5745","OC(CC1=CC=CC=C1)C(O)=O","1"
"Sorbose","Sorbose",NA,"6904",NA,NA,NA,NA,"1"
"5-Hydroxyindoleacetic acid","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"Oxanilic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Decanoic acid","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(O)=O","1"
"3-methyl-2-oxo-butanoic acid","alpha-Ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(O)=O","1"
"3-Indolepropionic acid","Indole-3-propionic acid","HMDB0002302","3744","43580",NA,"6602","OC(=O)CCC1=CNC2=C1C=CC=C2","1"
"Phosphoserine","Phosphoserine","HMDB0000272","68841","15811","C01005","5270","N[C@@H](COP(O)(O)=O)C(O)=O","1"
"3-Phosphoglyceric acid, TMS","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyl-glycine","Acetylglycine","HMDB0000532","10972","40410",NA,"5517","CC(=O)NCC(O)=O","1"
"Hexadecanoic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
"Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"Hexanoylglycine","Hexanoylglycine","HMDB0000701","99463","64390",NA,"5669","CCCCCC(=O)NCC(O)=O","1"
"Androstenedione","Androstenedione","HMDB0000053","6128","16422","C00280","2795","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"Arabinofuranose","Arabinofuranose","HMDB0012325","440921","6178","C06115",NA,"OC[C@@H]1OC(O)[C@H](O)[C@H]1O","1"
"Glycylprolylhydroxyproline","Glycylprolylhydroxyproline","HMDB0002171","11778669","74135",NA,"6524","NCC(=O)N1CCC[C@H]1C(=O)N1C[C@H](O)C[C@H]1C(O)=O","1"
"Urea","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"2,3'-Dipyridyl","NA","NA","NA","NA","NA","NA","NA","0"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Phenylglyoxylic acid","Phenylglyoxylic acid","HMDB0001587","11915","18280","C02137",NA,"OC(=O)C(=O)C1=CC=CC=C1","1"
"1H-Indole-3-acetic acid","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"Homoanserine","Homoanserine","HMDB0005767","20849429","172495",NA,NA,"CN1C=NC=C1C[C@H](NC(=O)CCCN)C(O)=O","1"
"2-Butenedioic acid","Maleic acid","HMDB0000176","444266","18300","C01384","4198","OC(=O)\C=C/C(O)=O","1"
"Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"Progesterone","Progesterone","HMDB0001830","5994","17026","C00410","402","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"beta-D-Glucopyranuronic acid","Beta-D-Glucopyranuronic acid","HMDB0010314","168876",NA,NA,NA,"O[C@@H]1[C@@H](O)[C@H](OC(=O)C2=CC=CC=C2O)O[C@@H]([C@H]1O)C(O)=O","1"
"Benzaldehyde","Benzaldehyde","HMDB0006115","240","17169","C00261",NA,"O=CC1=CC=CC=C1","1"
"5-Phosphoribosylamine","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Sphingosine","Sphingosine","HMDB0000252","5280335","16393","C00319","392","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"Hordenine","Hordenine","HMDB0004366","68313","5764","C06199","7055","CN(C)CCC1=CC=C(O)C=C1","1"
"3-hydroxypyridine","3-Hydroxypyridine",NA,"7971",NA,NA,NA,NA,"1"
"Xylitol","Xylitol","HMDB0242149","6912","1305691","C00379",NA,"OC[C@H](O)C(O)[C@H](O)CO","1"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","52330","C01233","5151","NCCOP(O)(=O)OCC(O)CO","1"
"Methylguanidine","Methylguanidine","HMDB0001522","10111","16628","C02294","3768","CNC(N)=N","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"3,4-bishydroxybutanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"cis-3-Hexenyllactate","NA","NA","NA","NA","NA","NA","NA","0"
"Tiglylglycine","Tiglylglycine","HMDB0000959","6441567","73018",NA,"4246","C\C=C(/C)C(=O)NCC(O)=O","1"
"Glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","HMDB0001112","439168","29052","C00118","3294","O[C@H](COP(O)(O)=O)C=O","1"
"Nonanoic acid","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(O)=O","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"2-amino-6-methylaminohexanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"2-oxo-3-methyl-pentanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Methylcysteine","Methylcysteine","HMDB0002108","24417","45658","C22040","6490","CSC[C@@H](N)C(O)=O","1"
"d-Xylose","D-Xylose","HMDB0000098","135191","53455","C00181","314","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"L-Threonic acid","Threonic acid","HMDB0000943","5460407","15908","C01620","5891","OC[C@H](O)[C@@H](O)C(O)=O","1"
"Mannitol","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Guanine","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"Glucopyranose","NA","NA","NA","NA","NA","NA","NA","0"
"Aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","17475","C00872",NA,"NC(C(O)=O)C(O)=O","1"
"18-Hydroxycorticosterone","18-Hydroxycorticosterone","HMDB0000319","11222","16485","C01124","5308","[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"Carnosine","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"Trimethylamine N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","15724","C01104","5876","C[N+](C)(C)[O-]","1"
"Thiamine","Thiamine","HMDB0000235","1130","18385","C00378","5242","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","57589","C02571","5213","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"trans-Hexadec-2-enoyl carnitine","trans-Hexadec-2-enoyl carnitine","HMDB0006317","53477817","86031",NA,NA,"CCCCCCCCCCCCC\C=C\C(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"3, 4 dehydroproline","NA","NA","NA","NA","NA","NA","NA","0"
"Linoleyl carnitine","Linoleyl carnitine","HMDB0006469","6450015","84098",NA,NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"6-Dehydrotestosterone glucuronide","6-Dehydrotestosterone glucuronide","HMDB0010337","1135","17821","C00178","290","[H][C@@]12CC[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C","1"
"Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"Glycolaldehyde","Glycolaldehyde","HMDB0003344","756","17071","C00266","3205","OCC=O","1"
"Glycerol","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"Indoleacrylic acid","Indoleacrylic acid","HMDB0000734","5375048","132244",NA,"5702","OC(=O)\C=C\C1=CNC2=C1C=CC=C2","1"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","36761","C03564",NA,"OC(=O)C1=NCCC1","1"
"L-Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"Guanidineacetic acid","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"alpha-Aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","37023","C00956","5496","N[C@@H](CCCC(O)=O)C(O)=O","1"
"2,2'-Bipyridine","2,2'-Bipyridine","HMDB0245352","1474","30351",NA,NA,"C1=CC=C(N=C1)C1=CC=CC=N1","1"
"Serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"Undecanoic acid","Undecanoic acid","HMDB0000947","8180","32368","C17715","5894","CCCCCCCCCCC(O)=O","1"
"Linoelaidic acid","Linoelaidic acid","HMDB0006270","5282457","75108",NA,NA,"CCCCC\C=C\C\C=C\CCCCCCCC(O)=O","1"
"5-Acetylamino-6-formylamino-3-methyluracil","5-Acetylamino-6-formylamino-3-methyluracil","HMDB0011105","108214","32643","C16365",NA,"CN1C(=O)NC(NC=O)=C(NC(C)=O)C1=O","1"
"Galactonic acid","Galactonic acid","HMDB0000565","128869","16534","C00880","3336","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"Stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056","84644",NA,"5811","CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Proline","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"4-Deoxypyridoxine","4-Deoxypyridoxine","HMDB0246408",NA,"65083",NA,NA,"CC1=NC=C(CO)C(C)=C1O","1"
"Decanoylcarnitine","Decanoylcarnitine","HMDB0000651","11953821","28717","C03299","5623","CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"5-Methoxytryptophol","5-Methoxytryptophol","HMDB0001896","12835","114833",NA,NA,"COC1=CC=C2NC=C(CCO)C2=C1","1"
"Cadaverine","Cadaverine","HMDB0002322","273","18127","C01672","3236","NCCCCCN","1"
"Erythrose","Erythrose","HMDB0002649","439574","23956","C01796","289","[H][C@@]1(O)COC([H])(O)[C@]1([H])O","1"
"Glyceraldehyde","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","OCC(O)C=O","1"
"cis-2-Methylaconitate","cis-2-Methylaconitate","HMDB0006357","3080625","16717","C04225",NA,"C\C(C(O)=O)=C(/CC(O)=O)C(O)=O","1"
"Alloisoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"Myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"Nicotine","Nicotine","HMDB0001934","89594","17688","C00745","1526","[H][C@]1(CCCN1C)C1=CC=CN=C1","1"
"2-Piperidinecarboxylic acid","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"Myristic acid","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(O)=O","1"
"Heneicosanoic acid","Heneicosanoic acid","HMDB0002345","16898","39248",NA,"4208","CCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"Isopentenyl pyrophosphate","Isopentenyl pyrophosphate","HMDB0001347","1195","16584","C00129","6181","CC(=C)CCOP(O)(=O)OP(O)(O)=O","1"
"oleoylcarnitine","Oleoylcarnitine","HMDB0005065","46907933","84651",NA,NA,"CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"N-formyl-glycine","NA","NA","NA","NA","NA","NA","NA","0"
"Epinephrine","Epinephrine","HMDB0000068","5816","28918","C00788","5127","CNC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"3-Succinoylpyridine","3-Succinoylpyridine","HMDB0000992","437","66951","C19569","5924","OC(=O)CCC(=O)C1=CC=CN=C1","1"
"9,12-Octadecadienoic acid (Z,Z)","NA","NA","NA","NA","NA","NA","NA","0"
"Cyclohexanone","Cyclohexanone","HMDB0003315","7967","17854","C00414",NA,"O=C1CCCCC1","1"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"Anthranilic acid","2-Aminobenzoic acid","HMDB0001123","227","30754","C00108","6018","NC1=CC=CC=C1C(O)=O","1"
"2,3-Diaminopropionic acid","2,3-Diaminopropionic acid","HMDB0002006","97328","16303","C03401","6429","NC[C@H](N)C(O)=O","1"
"Beta-alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","OCC(=O)COP(O)(O)=O","1"
"Ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"Tetracosahexaenoic acid","Tetracosahexaenoic acid","HMDB0002007","11792612","77366",NA,"6430","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O","1"
"Oxalic acid","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"2-hydroxypyridine","2-Hydroxypyridine","HMDB0013751","8871","16540","C02502",NA,"OC1=CC=CC=N1","1"
"D-Ribofuranose","NA","NA","NA","NA","NA","NA","NA","0"
"Olic acid","NA","NA","NA","NA","NA","NA","NA","0"
"Gluticol","NA","NA","NA","NA","NA","NA","NA","0"
"L-Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"Hydroxycarbamic acid","Hydroxycarbamic acid",NA,"16639161",NA,NA,NA,NA,"1"
"Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1,2-dimethylpropanol","3-Methyl-2-butanol","HMDB0033777","11732","77517",NA,NA,"CC(C)C(C)O","1"
"Hexanoylcarnitine","Hexanoylcarnitine","HMDB0000756","3246938","84834",NA,"3548","CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Octanoylcarnitine","Octanoylcarnitine","HMDB0000791","11953814","18102","C02838",NA,"CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Maleimide","Maleimide","HMDB0254312","10935","16072","C07272",NA,"OC1=NC(=O)C=C1","1"
"3-Aminosalicylic acid, TMS","NA","NA","NA","NA","NA","NA","NA","0"
"6-deoxy-mannose","Rhamnose","HMDB0000849","25310","62346","C00507","5812","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","1"
"Norleucine","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@H](N)C(O)=O","1"
